DFT, Frequency Response Magnitude
Numpoints, 2048
SamplingRate(Hz), 96000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
23.438, 125.8502
46.875, 126.2767
70.313, 125.6030
93.750, 124.7584
117.188, 124.7371
140.625, 124.0653
164.063, 124.2139
187.500, 123.4257
210.938, 123.7535
234.375, 124.4151
257.813, 124.3372
281.250, 124.8577
304.688, 125.2457
328.125, 125.4745
351.563, 125.8426
375.000, 126.1114
398.438, 126.5068
421.875, 126.7206
445.313, 127.0023
468.750, 127.2633
492.188, 127.6137
515.625, 127.5724
539.063, 127.7301
562.500, 128.1777
585.938, 128.4111
609.375, 128.2839
632.813, 128.6707
656.250, 129.2664
679.688, 129.3839
703.125, 129.6227
726.563, 129.7638
750.000, 130.1005
773.438, 130.4255
796.875, 130.6627
820.313, 130.9431
843.750, 131.0672
867.188, 131.3050
890.625, 131.6667
914.063, 131.7950
937.500, 132.0001
960.938, 132.2748
984.375, 132.3301
1007.813, 132.4856
1031.250, 132.6517
1054.688, 132.8300
1078.125, 133.0728
1101.563, 133.4590
1125.000, 133.7516
1148.438, 133.8359
1171.875, 134.1384
1195.313, 134.1799
1218.750, 134.4530
1242.188, 134.7667
1265.625, 134.6801
1289.063, 134.9076
1312.500, 134.9843
1335.938, 134.7860
1359.375, 135.1879
1382.813, 135.0727
1406.250, 135.2320
1429.688, 135.4314
1453.125, 135.1475
1476.563, 135.3388
1500.000, 135.5254
1523.438, 134.9067
1546.875, 134.7144
1570.313, 134.7465
1593.750, 134.6333
1617.188, 134.9725
1640.625, 135.1621
1664.063, 135.2103
1687.500, 135.1228
1710.938, 135.1480
1734.375, 135.1924
1757.813, 135.4190
1781.250, 135.3936
1804.688, 135.2751
1828.125, 135.3351
1851.563, 135.5476
1875.000, 135.2669
1898.438, 135.4792
1921.875, 135.5501
1945.313, 134.9551
1968.750, 135.3410
1992.188, 135.2101
2015.625, 134.7250
2039.063, 135.0648
2062.500, 135.0510
2085.938, 134.8649
2109.375, 135.2874
2132.813, 135.2360
2156.250, 135.2144
2179.688, 135.4059
2203.125, 135.3315
2226.563, 135.3733
2250.000, 135.8706
2273.438, 136.0352
2296.875, 136.1714
2320.313, 136.6819
2343.750, 137.1148
2367.188, 136.9841
2390.625, 137.4921
2414.063, 137.7608
2437.500, 137.8748
2460.938, 138.3461
2484.375, 138.6287
2507.813, 138.7578
2531.250, 139.1241
2554.688, 139.4176
2578.125, 139.6821
2601.563, 139.9080
2625.000, 140.1441
2648.438, 140.3727
2671.875, 140.4679
2695.313, 140.7035
2718.750, 140.8002
2742.188, 140.7263
2765.625, 140.6737
2789.063, 140.6887
2812.500, 140.4462
2835.938, 140.5383
2859.375, 140.5809
2882.813, 140.3716
2906.250, 140.5529
2929.688, 140.5289
2953.125, 140.4380
2976.563, 140.5306
3000.000, 140.4451
3023.438, 140.5769
3046.875, 140.8283
3070.313, 140.9515
3093.750, 141.0252
3117.188, 141.3218
3140.625, 140.9987
3164.063, 140.8763
3187.500, 140.6891
3210.938, 140.3809
3234.375, 140.2532
3257.813, 140.1457
3281.250, 139.9863
3304.688, 139.9570
3328.125, 139.7157
3351.563, 139.8044
3375.000, 139.7006
3398.438, 139.8822
3421.875, 139.8819
3445.313, 140.0706
3468.750, 140.1519
3492.188, 140.2717
3515.625, 140.3779
3539.063, 140.4417
3562.500, 140.3442
3585.938, 140.4833
3609.375, 140.3995
3632.813, 140.4293
3656.250, 140.3819
