DFT, Frequency Response Magnitude
Numpoints, 65536
SamplingRate(Hz), 96000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
0.732, 93.9287
1.465, 95.4093
2.197, 101.5273
2.930, 102.6431
3.662, 103.4446
4.395, 103.1111
5.127, 107.8731
5.859, 108.7117
6.592, 109.8111
7.324, 113.0257
8.057, 115.3505
8.789, 116.2918
9.521, 118.3253
10.254, 118.7438
10.986, 119.7766
11.719, 121.7940
12.451, 122.1421
13.184, 122.3574
13.916, 123.3249
14.648, 124.3463
15.381, 125.0743
16.113, 124.8899
16.846, 125.8474
17.578, 126.0984
18.311, 127.4294
19.043, 127.1094
19.775, 127.5809
20.508, 127.8066
21.240, 128.4675
21.973, 128.7253
22.705, 128.7817
23.438, 129.0685
24.170, 129.5549
24.902, 130.0101
25.635, 129.9083
26.367, 130.2301
27.100, 128.3426
27.832, 130.4022
28.564, 130.5208
29.297, 130.5262
30.029, 130.3100
30.762, 130.9576
31.494, 130.4188
32.227, 130.4752
32.959, 130.6976
33.691, 130.4388
34.424, 130.4965
35.156, 130.9734
35.889, 131.1623
36.621, 130.8202
37.354, 130.8142
38.086, 130.3747
38.818, 130.8751
39.551, 131.2121
40.283, 130.5532
41.016, 130.9389
41.748, 130.6910
42.480, 130.5847
43.213, 130.7073
43.945, 130.8305
44.678, 130.4736
45.410, 130.8007
46.143, 130.4662
46.875, 130.3761
47.607, 130.3526
48.340, 130.5739
49.072, 130.4136
49.805, 129.6401
50.537, 130.7670
51.270, 130.1390
52.002, 130.3975
52.734, 129.7991
53.467, 129.8837
54.199, 129.5560
54.932, 130.4278
55.664, 130.5100
56.396, 129.0613
57.129, 129.3862
57.861, 129.9662
58.594, 129.9663
59.326, 129.5268
60.059, 129.1941
60.791, 129.4221
61.523, 129.9645
62.256, 129.0772
62.988, 129.7251
63.721, 129.0393
64.453, 129.7675
65.186, 129.4244
65.918, 129.3226
66.650, 129.1463
67.383, 129.4720
68.115, 129.3403
68.848, 129.2128
69.580, 129.2784
70.313, 129.3658
71.045, 129.0085
71.777, 129.2924
72.510, 128.8448
73.242, 128.8022
73.975, 129.1110
74.707, 129.0264
75.439, 129.0462
76.172, 128.9073
76.904, 129.1018
77.637, 128.7412
78.369, 128.7772
79.102, 128.9852
79.834, 128.6861
80.566, 128.5742
81.299, 128.7203
82.031, 128.8249
82.764, 128.7092
83.496, 128.5249
84.229, 128.6888
84.961, 128.3320
85.693, 128.8246
86.426, 128.3768
87.158, 128.6710
87.891, 128.6297
88.623, 128.7413
89.355, 128.4879
90.088, 128.4969
90.820, 128.2387
91.553, 128.6104
92.285, 128.2980
93.018, 128.5992
93.750, 128.4348
94.482, 128.3418
95.215, 128.2179
95.947, 128.2084
96.680, 128.4645
97.412, 128.4596
98.145, 127.6399
98.877, 128.1708
99.609, 128.3024
100.342, 128.3019
101.074, 128.2972
101.807, 128.1424
102.539, 127.9415
103.271, 128.0932
104.004, 128.1792
104.736, 128.2336
105.469, 128.1954
106.201, 128.4132
106.934, 128.1294
107.666, 128.2237
108.398, 127.9413
109.131, 128.0249
109.863, 127.9185
110.596, 127.7305
111.328, 128.0354
112.061, 128.0629
112.793, 127.6361
113.525, 127.8059
114.258, 127.7917
114.990, 127.6628
115.723, 127.8305
116.455, 127.8309
117.188, 127.6599
117.920, 127.7302
118.652, 127.5593
119.385, 127.7507
120.117, 128.4919
120.850, 127.4387
121.582, 127.3381
122.314, 127.5681
123.047, 127.5206
123.779, 127.6433
124.512, 127.7545
125.244, 127.6200
125.977, 127.3648
126.709, 127.6240
127.441, 127.2209
128.174, 127.5811
128.906, 127.3962
129.639, 127.1543
130.371, 127.4893
131.104, 127.5463
131.836, 127.4074
132.568, 127.3410
133.301, 127.3703
134.033, 127.5423
134.766, 127.4826
135.498, 127.3192
136.230, 127.4794
136.963, 127.3320
137.695, 127.4239
138.428, 127.4059
139.160, 127.3093
139.893, 127.1571
140.625, 127.6033
141.357, 127.3270
142.090, 127.4609
142.822, 127.2984
143.555, 127.1480
144.287, 127.3166
145.020, 127.2368
145.752, 127.2558
146.484, 127.2800
147.217, 127.1126
147.949, 127.1496
148.682, 127.0888
149.414, 127.1665
150.146, 127.3164
150.879, 127.1270
151.611, 127.0311
152.344, 127.1058
153.076, 127.0323
153.809, 126.9795
154.541, 127.1682
155.273, 127.2624
156.006, 126.9164
156.738, 127.0723
157.471, 126.9717
158.203, 127.0084
158.936, 127.0731
159.668, 127.0414
160.400, 126.9864
161.133, 126.8604
161.865, 127.0945
162.598, 127.2419
163.330, 127.1420
164.063, 127.0879
164.795, 126.7867
165.527, 127.0432
166.260, 127.3041
166.992, 126.9866
167.725, 127.1192
168.457, 127.0675
169.189, 127.1667
169.922, 127.1725
170.654, 127.3124
171.387, 127.0016
172.119, 127.2672
172.852, 127.3259
173.584, 127.4109
174.316, 127.3885
175.049, 127.4674
175.781, 127.6924
176.514, 127.8319
177.246, 127.6776
177.979, 127.8713
178.711, 128.1752
179.443, 128.2110
180.176, 128.1875
180.908, 128.3822
181.641, 128.4195
182.373, 128.5316
183.105, 128.8268
183.838, 128.7408
184.570, 129.1018
185.303, 129.1344
186.035, 129.3263
186.768, 129.2833
187.500, 129.3411
188.232, 129.4584
188.965, 129.5744
189.697, 129.5677
190.430, 129.6639
191.162, 129.6462
191.895, 129.6935
192.627, 129.8919
193.359, 129.8079
194.092, 129.7935
194.824, 129.8342
195.557, 129.9893
196.289, 129.9395
197.021, 129.8119
197.754, 129.8761
198.486, 129.9118
199.219, 129.7345
199.951, 129.6635
200.684, 129.7473
201.416, 129.7112
202.148, 129.8082
202.881, 129.7138
203.613, 129.4424
204.346, 129.6296
205.078, 129.6952
205.811, 129.2594
206.543, 129.4485
207.275, 129.3963
208.008, 129.3794
208.740, 129.5015
209.473, 129.4016
210.205, 129.2409
210.938, 129.4564
211.670, 129.2565
212.402, 129.2086
213.135, 129.1172
213.867, 129.2189
214.600, 129.1949
215.332, 129.3061
216.064, 129.2385
216.797, 129.2865
217.529, 129.1829
218.262, 129.1680
218.994, 129.0403
219.727, 129.1059
220.459, 129.0499
221.191, 129.1141
221.924, 129.0220
222.656, 129.0199
223.389, 129.0344
224.121, 128.8854
224.854, 129.2334
225.586, 128.9869
226.318, 128.9236
227.051, 129.1479
227.783, 129.0024
228.516, 129.2162
229.248, 129.1066
229.980, 129.0968
230.713, 128.9385
231.445, 129.0545
232.178, 129.0983
232.910, 129.0478
233.643, 128.9224
234.375, 129.0663
235.107, 129.0741
235.840, 129.0816
236.572, 129.0383
237.305, 129.0430
238.037, 128.9777
238.770, 128.9724
239.502, 128.9898
240.234, 128.9793
240.967, 129.0200
241.699, 128.9597
242.432, 128.9768
243.164, 128.9190
243.896, 129.0150
244.629, 128.9202
245.361, 128.9415
246.094, 128.8896
246.826, 128.8499
247.559, 128.8976
248.291, 128.8251
249.023, 129.1055
249.756, 127.9865
250.488, 128.6243
251.221, 128.7495
251.953, 129.1705
252.686, 128.8429
253.418, 128.9642
254.150, 129.0244
254.883, 128.9511
255.615, 128.8003
256.348, 128.7509
257.080, 128.8233
257.813, 128.9805
258.545, 128.6392
259.277, 129.0531
260.010, 129.1286
260.742, 128.8303
261.475, 128.9835
262.207, 129.1231
262.939, 128.8316
263.672, 128.8542
264.404, 128.9767
265.137, 129.1054
265.869, 128.7911
266.602, 128.9662
267.334, 128.7336
268.066, 128.8334
268.799, 128.9044
269.531, 129.2127
270.264, 128.9050
270.996, 128.9087
271.729, 129.0635
272.461, 128.9387
273.193, 128.8221
273.926, 129.0237
274.658, 128.8562
275.391, 129.2878
276.123, 129.0091
276.855, 128.7348
277.588, 128.7604
278.320, 129.0710
279.053, 128.9991
279.785, 129.2428
280.518, 129.4283
281.250, 129.4577
281.982, 129.4917
282.715, 129.7668
283.447, 128.8273
284.180, 128.8388
284.912, 129.2079
285.645, 129.1264
286.377, 129.1409
287.109, 128.9576
287.842, 129.2473
288.574, 129.0624
289.307, 129.1069
290.039, 129.0114
290.771, 129.1166
291.504, 129.3592
292.236, 129.1611
292.969, 129.3036
293.701, 129.2293
294.434, 129.2919
295.166, 129.0776
295.898, 129.0003
296.631, 129.2303
297.363, 129.2061
298.096, 129.1022
298.828, 129.2039
299.561, 129.3018
300.293, 129.2254
301.025, 129.3559
301.758, 129.2848
302.490, 129.2683
303.223, 129.4297
303.955, 129.2639
304.688, 129.2814
305.420, 129.3601
306.152, 129.5316
306.885, 129.2622
307.617, 129.3208
308.350, 129.2371
309.082, 129.4034
309.814, 129.2122
310.547, 129.4196
311.279, 129.4509
312.012, 129.3809
312.744, 129.4209
313.477, 129.3463
314.209, 129.3757
314.941, 129.3391
315.674, 129.4198
316.406, 129.3481
317.139, 129.2578
317.871, 129.3129
318.604, 129.3484
319.336, 129.3245
320.068, 129.3765
320.801, 129.3597
321.533, 129.3868
322.266, 129.4159
322.998, 129.4727
323.730, 129.4444
324.463, 129.4184
325.195, 129.4047
325.928, 129.5509
326.660, 129.4718
327.393, 129.5005
328.125, 129.4666
328.857, 129.4358
329.590, 129.4734
330.322, 129.5328
331.055, 129.4159
331.787, 129.4851
332.520, 129.4909
333.252, 129.5305
333.984, 129.5011
334.717, 129.6162
335.449, 129.5337
336.182, 129.6093
336.914, 129.5313
337.646, 129.6775
338.379, 129.6673
339.111, 129.5009
339.844, 129.6424
340.576, 129.5999
341.309, 129.6395
342.041, 129.6354
342.773, 129.6458
343.506, 129.5240
344.238, 129.6530
344.971, 129.6644
345.703, 129.7123
346.436, 129.7111
347.168, 129.6829
347.900, 129.8417
348.633, 129.6256
349.365, 129.5061
350.098, 131.0853
350.830, 129.4296
351.563, 129.8863
352.295, 129.6890
353.027, 129.7827
353.760, 129.7158
354.492, 129.8206
355.225, 129.7711
355.957, 129.7766
356.689, 129.7675
357.422, 129.8339
358.154, 129.8967
358.887, 129.8571
359.619, 129.7961
360.352, 129.8710
361.084, 129.7399
361.816, 129.7783
362.549, 129.8915
363.281, 129.8757
364.014, 129.9752
364.746, 129.8580
365.479, 129.8809
366.211, 129.9265
366.943, 129.9122
367.676, 129.9908
368.408, 129.9888
369.141, 130.0494
369.873, 129.9346
370.605, 130.0419
371.338, 129.9678
372.070, 130.0947
372.803, 129.9344
373.535, 130.0357
374.268, 129.9762
375.000, 129.8904
375.732, 130.0521
376.465, 130.1495
377.197, 130.0586
377.930, 130.0397
378.662, 130.0870
379.395, 130.1481
380.127, 129.9720
380.859, 129.8619
381.592, 130.0008
382.324, 130.0985
383.057, 130.1263
383.789, 130.0590
384.521, 130.1952
385.254, 130.1093
385.986, 130.0957
386.719, 130.0441
387.451, 130.1287
388.184, 130.1059
388.916, 130.1120
389.648, 130.1867
390.381, 130.2045
391.113, 130.1324
391.846, 130.2207
392.578, 130.1929
393.311, 130.3195
394.043, 130.1662
394.775, 130.2177
395.508, 130.1788
396.240, 130.2055
396.973, 130.3097
397.705, 130.2752
398.438, 130.2339
399.170, 130.3271
399.902, 130.2936
400.635, 130.3324
401.367, 130.3691
402.100, 130.3975
402.832, 130.3538
403.564, 130.3128
404.297, 130.3456
405.029, 130.3033
405.762, 130.3073
406.494, 130.3549
407.227, 130.2601
407.959, 130.3839
408.691, 130.4326
409.424, 130.4302
410.156, 130.3801
410.889, 130.4720
411.621, 130.3899
412.354, 130.4589
413.086, 130.3569
413.818, 130.4124
414.551, 130.4890
415.283, 130.4712
416.016, 130.3887
416.748, 130.4196
417.480, 130.5028
