DFT, Frequency Response Magnitude
Numpoints, 65536
SamplingRate(Hz), 96000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
0.732, 95.7353
1.465, 99.9443
2.197, 100.3452
2.930, 103.7953
3.662, 100.9363
4.395, 100.9345
5.127, 107.2480
5.859, 110.2449
6.592, 112.8659
7.324, 113.2570
8.057, 116.7548
8.789, 114.5773
9.521, 117.7583
10.254, 122.7673
10.986, 122.6086
11.719, 123.5172
12.451, 124.1549
13.184, 125.4616
13.916, 126.3237
14.648, 126.9889
15.381, 127.4019
16.113, 128.4878
16.846, 129.5032
17.578, 129.8417
18.311, 130.9098
19.043, 131.3188
19.775, 131.3358
20.508, 132.2988
21.240, 132.9411
21.973, 133.4981
22.705, 133.8616
23.438, 134.3105
24.170, 134.4608
24.902, 134.9848
25.635, 135.2917
26.367, 135.7377
27.100, 136.0183
27.832, 136.5323
28.564, 136.6701
29.297, 137.1841
30.029, 137.2685
30.762, 137.3795
31.494, 137.5701
32.227, 138.0351
32.959, 137.9094
33.691, 138.3302
34.424, 138.6134
35.156, 139.0751
35.889, 139.1497
36.621, 139.2813
37.354, 138.7781
38.086, 139.0780
38.818, 139.1459
39.551, 139.1136
40.283, 139.5888
41.016, 139.4638
41.748, 139.4314
42.480, 139.5075
43.213, 139.3979
43.945, 139.3690
44.678, 139.7441
45.410, 139.5912
46.143, 139.5748
46.875, 139.3553
47.607, 139.2564
48.340, 139.5524
49.072, 139.4147
49.805, 140.5964
50.537, 139.6415
51.270, 138.7090
52.002, 139.2304
52.734, 139.3966
53.467, 139.3454
54.199, 139.2400
54.932, 139.1284
55.664, 139.0669
56.396, 138.9158
57.129, 138.8780
57.861, 138.7616
58.594, 138.8332
59.326, 138.7520
60.059, 138.7355
60.791, 138.5301
61.523, 138.4174
62.256, 138.4991
62.988, 138.5370
63.721, 138.3400
64.453, 138.1788
65.186, 138.2518
65.918, 138.0048
66.650, 138.2160
67.383, 138.1140
68.115, 138.1209
68.848, 138.0254
69.580, 137.9109
70.313, 137.9648
71.045, 137.9987
71.777, 137.8532
72.510, 137.9688
73.242, 137.6550
73.975, 137.7015
74.707, 137.5832
75.439, 137.5334
76.172, 137.7547
76.904, 137.5408
77.637, 137.5560
78.369, 137.5903
79.102, 137.3386
79.834, 137.3179
80.566, 137.5238
81.299, 137.3716
82.031, 137.0648
82.764, 136.9622
83.496, 137.1631
84.229, 137.1788
84.961, 137.1778
85.693, 136.9016
86.426, 137.0231
87.158, 136.9355
87.891, 137.0921
88.623, 136.7686
89.355, 136.8549
90.088, 136.9287
90.820, 136.7397
91.553, 136.6091
92.285, 136.6462
93.018, 136.4719
93.750, 136.6984
94.482, 136.6879
95.215, 136.5193
95.947, 136.5066
96.680, 136.4738
97.412, 136.5266
98.145, 136.4740
98.877, 136.4485
99.609, 136.4598
100.342, 136.3405
101.074, 136.4284
101.807, 136.2000
102.539, 136.4508
103.271, 136.1735
104.004, 136.2707
104.736, 136.1460
105.469, 136.0794
106.201, 136.2431
106.934, 136.0959
107.666, 136.0833
108.398, 135.9573
109.131, 136.0947
109.863, 136.0585
110.596, 136.1672
111.328, 135.9082
112.061, 135.9180
112.793, 135.9264
113.525, 135.8664
114.258, 135.9711
114.990, 135.8962
115.723, 135.7910
116.455, 135.8607
117.188, 135.7228
117.920, 135.6385
118.652, 135.6776
119.385, 135.6581
120.117, 136.1952
120.850, 135.6618
121.582, 135.7498
122.314, 135.7713
123.047, 135.6466
123.779, 135.4644
124.512, 135.5567
125.244, 135.6227
125.977, 135.7588
126.709, 135.4524
127.441, 135.3422
128.174, 135.3801
128.906, 135.5726
129.639, 135.4501
130.371, 135.5225
131.104, 135.2899
131.836, 135.4791
132.568, 135.2118
133.301, 135.1407
134.033, 135.0952
134.766, 135.3428
135.498, 135.1151
136.230, 135.0446
136.963, 135.2773
137.695, 135.2777
138.428, 135.0367
139.160, 135.2404
139.893, 135.0161
140.625, 135.0526
141.357, 135.0149
142.090, 134.8165
142.822, 134.8691
143.555, 134.8788
144.287, 135.1495
145.020, 134.6810
145.752, 134.8705
146.484, 134.8779
147.217, 135.0228
147.949, 134.9360
148.682, 135.0447
149.414, 134.6945
150.146, 134.9325
150.879, 134.8191
151.611, 134.8895
152.344, 134.6061
153.076, 134.9346
153.809, 134.6524
154.541, 134.7201
155.273, 134.6511
156.006, 134.6654
156.738, 134.6968
157.471, 134.4334
158.203, 134.5254
158.936, 134.5605
159.668, 134.4668
160.400, 134.8146
161.133, 134.4708
161.865, 134.5279
162.598, 134.6659
163.330, 134.5929
164.063, 134.4533
164.795, 134.5813
165.527, 134.6600
166.260, 134.6322
166.992, 134.5957
167.725, 134.4157
168.457, 134.4816
169.189, 134.5394
169.922, 134.5929
170.654, 134.5317
171.387, 134.6660
172.119, 134.6208
172.852, 134.4568
173.584, 134.4442
174.316, 134.5217
175.049, 134.5070
175.781, 134.2752
176.514, 134.2613
177.246, 134.4475
177.979, 133.9563
178.711, 134.3212
179.443, 134.1500
180.176, 133.9081
180.908, 133.9327
181.641, 133.8491
182.373, 133.9938
183.105, 133.8657
183.838, 133.9118
184.570, 133.9885
185.303, 133.8745
186.035, 133.8229
186.768, 133.7105
187.500, 133.8611
188.232, 133.6911
188.965, 133.7143
189.697, 133.6962
190.430, 133.5619
191.162, 133.6177
191.895, 133.6780
192.627, 133.6453
193.359, 133.4366
194.092, 133.4317
194.824, 133.5481
195.557, 133.6139
196.289, 133.7222
197.021, 133.5160
197.754, 133.5468
198.486, 133.6748
199.219, 133.7388
199.951, 133.6584
200.684, 133.9374
201.416, 133.8194
202.148, 133.8571
202.881, 133.7636
203.613, 133.8306
204.346, 133.7654
205.078, 133.8136
205.811, 134.0108
206.543, 133.9503
207.275, 133.9595
208.008, 133.8487
208.740, 134.0207
209.473, 133.9823
210.205, 134.0860
210.938, 134.0951
211.670, 134.0873
212.402, 134.2394
213.135, 134.0662
213.867, 134.1555
214.600, 134.2074
215.332, 134.2457
216.064, 134.0911
216.797, 134.2387
217.529, 134.1904
218.262, 134.2318
218.994, 134.1346
219.727, 134.2628
220.459, 134.2147
221.191, 134.1901
221.924, 134.1995
222.656, 134.1301
223.389, 134.2171
224.121, 134.2680
224.854, 134.1047
225.586, 134.2120
226.318, 134.0359
227.051, 134.1017
227.783, 134.1219
228.516, 134.0839
229.248, 134.1603
229.980, 134.0871
230.713, 133.9884
231.445, 134.0858
232.178, 133.9711
232.910, 134.0411
233.643, 134.0153
234.375, 133.9440
235.107, 134.0203
235.840, 134.0757
236.572, 133.9005
237.305, 133.9830
238.037, 134.0100
238.770, 133.9343
239.502, 134.0659
240.234, 134.0309
240.967, 133.9092
241.699, 133.8987
242.432, 133.9078
243.164, 133.9895
243.896, 134.0005
244.629, 133.8238
245.361, 133.8279
246.094, 133.9141
246.826, 134.0074
247.559, 133.6957
248.291, 133.9288
249.023, 133.9330
249.756, 133.2247
250.488, 133.6004
251.221, 133.9643
251.953, 133.7820
252.686, 133.8947
253.418, 133.7810
254.150, 133.8943
254.883, 133.8355
255.615, 133.7042
256.348, 133.7228
257.080, 133.7791
257.813, 133.6284
258.545, 133.7232
259.277, 133.6042
260.010, 133.7283
260.742, 133.7117
261.475, 133.6205
262.207, 133.7093
262.939, 133.7575
263.672, 133.7510
264.404, 133.7373
265.137, 133.7850
265.869, 133.7163
266.602, 133.7566
267.334, 133.5047
268.066, 133.8439
268.799, 133.6766
269.531, 133.6144
270.264, 133.8282
270.996, 133.6863
271.729, 133.7641
272.461, 133.7495
273.193, 133.7834
273.926, 133.8025
274.658, 133.5943
275.391, 133.6630
276.123, 133.5319
276.855, 133.8034
277.588, 133.4727
278.320, 133.4873
279.053, 133.9378
279.785, 133.6409
280.518, 133.0470
281.250, 133.7449
281.982, 133.6086
282.715, 133.7843
283.447, 133.6835
284.180, 133.6640
284.912, 133.7071
285.645, 133.4744
286.377, 133.5660
287.109, 133.6893
287.842, 133.6798
288.574, 133.7328
289.307, 133.6428
290.039, 133.6119
290.771, 133.5648
291.504, 133.5786
292.236, 133.7334
292.969, 133.6134
293.701, 133.6247
294.434, 133.6760
295.166, 133.5856
295.898, 133.6447
296.631, 133.6315
297.363, 133.7498
298.096, 133.6783
298.828, 133.7035
299.561, 133.6870
300.293, 133.6853
301.025, 133.6512
301.758, 133.5452
302.490, 133.6366
303.223, 133.6389
303.955, 133.7901
304.688, 133.5443
305.420, 133.6100
306.152, 133.7469
306.885, 133.6451
307.617, 133.6813
308.350, 133.5995
309.082, 133.6029
309.814, 133.6525
310.547, 133.6669
311.279, 133.6900
312.012, 133.6781
312.744, 133.6618
313.477, 133.6470
314.209, 133.6476
314.941, 133.6848
315.674, 133.6413
316.406, 133.6287
317.139, 133.6241
317.871, 133.6550
318.604, 133.6177
319.336, 133.6342
320.068, 133.5920
320.801, 133.7055
321.533, 133.7258
322.266, 133.6157
322.998, 133.6832
323.730, 133.6982
324.463, 133.6821
325.195, 133.6174
325.928, 133.7409
326.660, 133.5949
327.393, 133.6153
328.125, 133.7267
328.857, 133.7141
329.590, 133.6640
330.322, 133.7694
331.055, 133.6417
331.787, 133.7096
332.520, 133.6235
333.252, 133.6596
333.984, 133.6537
334.717, 133.6859
335.449, 133.6191
336.182, 133.6665
336.914, 133.6799
337.646, 133.7264
338.379, 133.6804
339.111, 133.6981
339.844, 133.7378
340.576, 133.7826
341.309, 133.7505
342.041, 133.6984
342.773, 133.6461
343.506, 133.7263
344.238, 133.6686
344.971, 133.6798
345.703, 133.7418
346.436, 133.7418
347.168, 133.6532
347.900, 133.6708
348.633, 133.8405
349.365, 133.6543
350.098, 133.5883
350.830, 133.6805
351.563, 133.6622
352.295, 133.6864
353.027, 133.7153
353.760, 133.6605
354.492, 133.6677
355.225, 133.6625
355.957, 133.7568
356.689, 133.7272
357.422, 133.7559
358.154, 133.7388
358.887, 133.7229
359.619, 133.6937
360.352, 133.7977
361.084, 133.7518
361.816, 133.7368
362.549, 133.6933
363.281, 133.7856
364.014, 133.7724
364.746, 133.8341
365.479, 133.7660
366.211, 133.7375
366.943, 133.7874
367.676, 133.8165
368.408, 133.7955
369.141, 133.8568
369.873, 133.8500
370.605, 133.7541
371.338, 133.8434
372.070, 133.8192
372.803, 133.7167
373.535, 133.8170
374.268, 133.8986
375.000, 133.7776
375.732, 133.7580
376.465, 133.8553
377.197, 133.8404
377.930, 133.7424
378.662, 133.7707
379.395, 133.8241
380.127, 133.7964
380.859, 133.8459
381.592, 133.8347
382.324, 133.7747
383.057, 133.7751
383.789, 133.9488
384.521, 133.7672
385.254, 133.7894
385.986, 133.8216
386.719, 133.8101
387.451, 133.9525
388.184, 133.8626
388.916, 133.9242
389.648, 133.8213
390.381, 133.9502
391.113, 133.9044
391.846, 133.8835
392.578, 133.9371
393.311, 133.7137
394.043, 133.9178
394.775, 133.8871
395.508, 133.8935
396.240, 133.8478
396.973, 133.9811
397.705, 133.9574
398.438, 133.9701
399.170, 133.8641
399.902, 133.9081
400.635, 133.9360
401.367, 133.8490
402.100, 133.9389
402.832, 133.9340
403.564, 133.8831
404.297, 133.9841
405.029, 133.9131
405.762, 133.9285
406.494, 133.9392
407.227, 133.9614
407.959, 133.8739
408.691, 133.9045
409.424, 134.0143
410.156, 133.9241
410.889, 134.0057
411.621, 133.9803
412.354, 133.9543
413.086, 133.9869
413.818, 134.0253
414.551, 133.8896
415.283, 133.9634
416.016, 133.9909
416.748, 133.9853
417.480, 134.0564
