DFT, Frequency Response Magnitude
Numpoints, 65536
SamplingRate(Hz), 96000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
0.732, 107.2688
1.465, 123.2486
2.197, 117.0552
2.930, 108.8882
3.662, 117.6650
4.395, 116.7641
5.127, 115.6879
5.859, 110.7219
6.592, 103.6097
7.324, 106.3094
8.057, 112.0334
8.789, 108.3636
9.521, 113.4648
10.254, 108.9191
10.986, 113.8703
11.719, 109.4597
12.451, 109.7279
13.184, 111.4751
13.916, 112.0057
14.648, 111.8144
15.381, 114.8611
16.113, 113.4956
16.846, 115.4536
17.578, 115.0266
18.311, 115.0093
19.043, 116.1666
19.775, 116.7002
20.508, 116.5124
21.240, 117.1699
21.973, 120.8269
22.705, 117.8024
23.438, 120.4703
24.170, 119.6233
24.902, 120.0179
25.635, 119.9837
26.367, 120.5889
27.100, 122.0201
27.832, 120.7518
28.564, 122.1995
29.297, 120.3725
30.029, 122.7328
30.762, 124.4102
31.494, 122.1524
32.227, 122.3692
32.959, 123.3131
33.691, 123.2011
34.424, 123.1027
35.156, 123.2564
35.889, 123.5193
36.621, 123.9594
37.354, 123.4565
38.086, 123.6734
38.818, 123.7646
39.551, 124.1054
40.283, 124.0063
41.016, 123.6165
41.748, 123.3835
42.480, 123.8568
43.213, 124.1457
43.945, 124.2057
44.678, 124.3865
45.410, 124.0266
46.143, 123.9473
46.875, 123.9910
47.607, 123.8558
48.340, 123.6802
49.072, 124.4128
49.805, 123.7512
50.537, 123.7002
51.270, 123.7936
52.002, 123.8970
52.734, 123.3936
53.467, 123.8998
54.199, 123.5886
54.932, 123.2908
55.664, 123.7085
56.396, 123.0126
57.129, 123.3923
57.861, 123.5120
58.594, 123.0435
59.326, 122.9776
60.059, 123.4290
60.791, 123.4622
61.523, 122.8751
62.256, 122.2100
62.988, 122.4337
63.721, 122.6604
64.453, 122.6747
65.186, 123.1356
65.918, 122.6152
66.650, 122.8420
67.383, 122.7341
68.115, 122.8999
68.848, 122.3473
69.580, 122.6152
70.313, 122.2709
71.045, 122.1445
71.777, 122.3096
72.510, 122.5957
73.242, 122.2302
73.975, 121.8326
74.707, 121.8011
75.439, 122.2630
76.172, 122.3258
76.904, 122.5192
77.637, 121.9711
78.369, 121.9526
79.102, 121.6315
79.834, 122.1757
80.566, 121.9561
81.299, 121.7675
82.031, 121.6306
82.764, 121.4898
83.496, 121.7786
84.229, 121.6352
84.961, 121.5400
85.693, 121.6646
86.426, 122.1075
87.158, 121.7571
87.891, 122.1509
88.623, 120.9950
89.355, 121.4392
90.088, 121.5298
90.820, 120.9793
91.553, 121.6929
92.285, 121.5754
93.018, 121.3870
93.750, 121.5378
94.482, 121.0479
95.215, 121.2300
95.947, 120.8016
96.680, 121.8374
97.412, 121.0493
98.145, 121.2343
98.877, 121.8648
99.609, 121.4174
100.342, 121.2995
101.074, 121.3260
101.807, 121.5468
102.539, 121.0810
103.271, 120.8918
104.004, 121.4048
104.736, 121.5854
105.469, 121.0134
106.201, 121.2504
106.934, 120.9003
107.666, 121.3329
108.398, 121.3799
109.131, 121.0569
109.863, 120.6024
110.596, 121.2421
111.328, 121.1540
112.061, 120.7250
112.793, 120.7162
113.525, 120.7065
114.258, 120.7290
114.990, 121.2368
115.723, 120.7344
116.455, 121.3483
117.188, 121.4290
117.920, 121.2894
118.652, 120.6647
119.385, 121.1264
120.117, 121.1154
120.850, 121.0233
121.582, 121.2668
122.314, 120.7508
123.047, 121.1464
123.779, 121.1912
124.512, 120.6755
125.244, 120.8873
125.977, 120.5536
126.709, 120.4414
127.441, 120.9083
128.174, 120.3205
128.906, 120.3455
129.639, 120.9878
130.371, 121.3534
131.104, 120.9946
131.836, 120.7433
132.568, 120.2955
133.301, 120.4295
134.033, 121.2430
134.766, 121.3658
135.498, 120.5209
136.230, 120.6373
136.963, 121.2547
137.695, 120.7474
138.428, 121.3456
139.160, 120.9855
139.893, 120.2366
140.625, 120.5939
141.357, 119.8080
142.090, 119.9037
142.822, 121.3013
143.555, 120.6013
144.287, 121.1794
145.020, 120.3313
145.752, 120.5743
146.484, 120.5384
147.217, 120.3217
147.949, 120.5200
148.682, 121.0021
149.414, 120.0587
150.146, 120.9532
150.879, 120.5565
151.611, 120.4229
152.344, 120.6915
153.076, 120.3681
153.809, 120.3588
154.541, 119.7576
155.273, 120.0591
156.006, 120.2351
156.738, 119.7735
157.471, 120.2790
158.203, 120.1933
158.936, 120.5147
159.668, 120.3955
160.400, 120.4396
161.133, 120.4462
161.865, 120.2600
162.598, 120.9275
163.330, 120.6076
164.063, 119.8123
164.795, 120.5531
165.527, 119.7388
166.260, 120.3701
166.992, 120.5072
167.725, 120.1298
168.457, 120.6445
169.189, 120.2497
169.922, 120.1586
170.654, 120.1232
171.387, 120.2061
172.119, 120.3555
172.852, 120.2254
173.584, 120.1926
174.316, 120.4254
175.049, 120.6587
175.781, 119.8472
176.514, 120.2423
177.246, 119.7790
177.979, 120.6598
178.711, 120.7520
179.443, 119.8064
180.176, 120.3323
180.908, 120.0632
181.641, 120.4366
182.373, 120.7485
183.105, 120.1159
183.838, 120.3934
184.570, 120.2456
185.303, 120.1872
186.035, 120.1572
186.768, 120.8892
187.500, 120.7704
188.232, 120.5446
188.965, 119.9275
189.697, 120.0172
190.430, 120.2889
191.162, 120.4774
191.895, 120.1279
192.627, 120.6730
193.359, 120.3974
194.092, 120.3057
194.824, 120.5084
195.557, 120.1464
196.289, 120.4517
197.021, 120.2535
197.754, 120.3998
198.486, 119.6809
199.219, 120.3538
199.951, 120.3741
200.684, 119.8117
201.416, 120.5316
202.148, 120.6926
202.881, 120.6287
203.613, 120.7591
204.346, 120.1944
205.078, 120.4294
205.811, 120.5232
206.543, 120.4497
207.275, 119.9911
208.008, 120.3587
208.740, 119.5850
209.473, 120.4718
210.205, 119.9339
210.938, 120.0838
211.670, 120.0723
212.402, 120.1561
213.135, 120.1404
213.867, 119.7003
214.600, 120.0627
215.332, 120.5784
216.064, 120.4033
216.797, 119.8223
217.529, 120.1266
218.262, 120.0946
218.994, 120.1306
219.727, 119.5080
220.459, 120.3040
221.191, 120.0830
221.924, 119.6294
222.656, 119.8224
223.389, 120.0837
224.121, 120.2594
224.854, 121.2496
225.586, 120.5109
226.318, 120.6037
227.051, 119.8007
227.783, 119.9072
228.516, 120.7258
229.248, 120.3685
229.980, 120.4442
230.713, 120.5127
231.445, 121.0982
232.178, 120.1939
232.910, 120.6268
233.643, 120.4857
234.375, 120.5695
235.107, 120.4514
235.840, 121.0343
236.572, 120.8668
237.305, 121.4876
238.037, 120.4838
238.770, 120.9858
239.502, 120.8828
240.234, 121.1116
240.967, 120.5011
241.699, 121.0347
242.432, 121.1018
243.164, 121.1487
243.896, 121.0048
244.629, 120.9335
245.361, 120.9335
246.094, 121.0785
246.826, 120.7199
247.559, 120.4667
248.291, 120.9633
249.023, 121.1397
249.756, 121.0693
250.488, 121.0066
251.221, 121.1389
251.953, 120.8793
252.686, 121.1888
253.418, 120.8795
254.150, 121.1513
254.883, 121.2881
255.615, 121.1525
256.348, 121.0970
257.080, 120.9187
257.813, 121.3965
258.545, 121.1275
259.277, 120.9302
260.010, 121.2055
260.742, 120.9624
261.475, 121.3491
262.207, 121.1468
262.939, 121.0636
263.672, 121.2290
264.404, 120.9837
265.137, 120.9519
265.869, 121.0159
266.602, 120.8389
267.334, 121.3281
268.066, 121.4667
268.799, 121.3360
269.531, 121.4138
270.264, 121.1753
270.996, 121.5854
271.729, 121.4630
272.461, 121.3299
273.193, 121.3423
273.926, 121.0802
274.658, 121.0191
275.391, 121.5866
276.123, 121.1338
276.855, 121.4491
277.588, 121.3332
278.320, 121.3821
279.053, 121.3934
279.785, 121.2333
280.518, 121.6041
281.250, 121.4332
281.982, 121.2406
282.715, 121.3178
283.447, 121.4093
284.180, 121.3767
284.912, 121.2023
285.645, 121.3693
286.377, 121.4581
287.109, 121.6133
287.842, 121.1949
288.574, 121.6560
289.307, 121.3330
290.039, 121.4440
290.771, 121.1982
291.504, 121.5966
292.236, 121.2469
292.969, 121.4573
293.701, 121.5525
294.434, 121.4408
295.166, 121.2979
295.898, 121.6353
296.631, 121.3568
297.363, 121.1034
298.096, 121.6776
298.828, 121.6868
299.561, 121.6677
300.293, 121.5521
301.025, 121.4640
301.758, 121.6222
302.490, 121.4717
303.223, 121.6508
303.955, 121.7095
304.688, 121.3926
305.420, 121.5240
306.152, 121.4659
306.885, 121.5100
307.617, 121.6234
308.350, 121.5675
309.082, 121.7191
309.814, 121.8723
310.547, 121.7488
311.279, 121.3632
312.012, 121.5941
312.744, 121.6147
313.477, 121.3142
314.209, 121.5831
314.941, 121.7350
315.674, 121.8895
316.406, 121.3411
317.139, 121.7782
317.871, 121.6620
318.604, 121.4897
319.336, 121.7385
320.068, 121.8132
320.801, 121.6414
321.533, 121.7807
322.266, 121.7913
322.998, 121.6630
323.730, 121.7920
324.463, 122.1570
325.195, 121.9161
325.928, 121.6820
326.660, 121.9464
327.393, 121.9519
328.125, 122.0048
328.857, 122.0083
329.590, 121.8670
330.322, 121.7820
331.055, 121.8336
331.787, 121.9112
332.520, 121.8194
333.252, 121.8700
333.984, 121.8629
334.717, 121.7544
335.449, 122.0476
336.182, 121.8539
336.914, 122.0051
337.646, 121.9059
338.379, 121.8805
339.111, 121.9975
339.844, 122.0415
340.576, 122.2650
341.309, 121.9334
342.041, 121.8745
342.773, 121.9585
343.506, 122.1111
344.238, 122.2713
344.971, 122.2551
345.703, 122.1057
346.436, 122.1467
347.168, 121.9972
347.900, 121.9501
348.633, 122.0175
349.365, 122.3732
350.098, 122.0565
350.830, 122.2359
351.563, 122.1984
352.295, 122.0369
353.027, 122.0989
353.760, 122.4270
354.492, 122.3271
355.225, 122.3703
355.957, 122.1242
356.689, 122.1042
357.422, 122.3955
358.154, 122.1873
358.887, 122.2218
359.619, 121.9960
360.352, 122.1553
361.084, 122.3501
361.816, 122.1884
362.549, 122.2537
363.281, 122.2642
364.014, 122.1916
364.746, 122.4653
365.479, 122.2685
366.211, 122.3559
366.943, 122.2135
367.676, 122.4384
368.408, 122.3118
369.141, 122.3708
369.873, 122.2128
370.605, 122.1153
371.338, 122.4632
372.070, 122.3869
372.803, 122.2307
373.535, 122.5247
374.268, 122.4111
375.000, 122.3174
375.732, 122.2515
376.465, 122.3808
377.197, 122.4989
377.930, 122.5207
378.662, 122.3361
379.395, 122.2692
380.127, 122.3617
380.859, 122.3922
381.592, 122.4480
382.324, 122.3031
383.057, 122.3650
383.789, 122.6558
384.521, 122.3547
385.254, 122.3235
385.986, 122.6046
386.719, 122.3210
387.451, 122.5452
388.184, 122.6516
388.916, 122.4446
389.648, 122.5413
390.381, 122.4551
391.113, 122.3507
391.846, 122.5442
392.578, 122.4906
393.311, 122.3373
394.043, 122.5689
394.775, 122.5158
395.508, 122.7187
396.240, 122.5830
396.973, 122.4693
397.705, 122.5585
398.438, 122.2742
399.170, 122.5279
399.902, 122.4753
400.635, 122.5225
401.367, 122.6094
402.100, 122.5820
402.832, 122.6591
403.564, 122.3105
404.297, 122.6270
405.029, 122.6500
405.762, 122.6653
406.494, 122.6196
407.227, 122.5970
407.959, 122.5329
408.691, 122.4541
409.424, 122.5526
410.156, 122.4295
410.889, 122.7001
411.621, 122.8031
412.354, 122.7598
413.086, 122.6323
413.818, 122.7581
414.551, 122.4672
415.283, 122.6238
416.016, 122.8315
416.748, 122.6876
417.480, 122.8409
